nome,renda,idade,etnia,sexo,casapropria,outrasrendas,estadocivil,escolaridade
"Jacob, Carpenter-Williams",4138.874989771873,47.10048476418425,0,0,1,0,1,2
"Anna, Wilkerson",3128.279011353611,33.40240352361654,1,1,1,0,1,2
"Isaiah, Diaz Daughtry",4998.609836758559,29.97092933403478,0,0,1,1,1,2
"Kelsey, Holley",3588.481731991957,37.109571834867886,0,1,1,1,0,3
"Ysobella, Bonath",2529.286890798471,39.527609571670034,0,1,0,0,0,2
"Abyad, el-Hannan",3567.0515196875535,49.988443979438415,0,0,0,1,1,2
"Michael, Richardson",3058.265247691817,28.722877694787375,0,0,0,1,1,3
"Issac, Quintana",3978.6133207264875,41.242841536637414,1,0,1,1,0,2
"Awda, al-Srour",2639.0775657971103,23.168700255738447,1,1,0,0,0,2
"Taylor, Wilson",2582.736476204221,40.913632965823055,1,1,0,0,1,2
"John, Schubert",4532.142410850231,22.19798862059742,0,0,1,0,0,2
"Layaali, el-Abdelrahman",3343.431010225168,44.395953865322966,1,1,1,1,1,2
"Blake, Curlee",3849.0067810571786,34.87146230341014,0,0,1,0,0,3
"Monica, Shea",3689.135326193056,44.96091079866879,1,1,0,0,0,1
"Maleeka, al-Ally",3156.559767150613,59.67097006587555,0,1,1,0,1,2
"Anna, Torres-Arellano",2357.2145103111043,31.922103813703288,1,1,0,0,1,3
"Amanda, Box",3335.5755692508337,26.974573293341813,0,1,1,0,1,2
"Violet, Littlejohn",3389.918935584988,49.09770478027815,1,1,1,0,1,3
"Hiwaaya, al-Awan",3949.4244208165824,36.51923378743942,1,1,0,0,1,1
"Tanner, Chiang",4020.866985671473,49.54541632468525,0,0,1,1,0,2
"Angelita, Finkenbinder",4163.83272580267,44.5086756154959,1,1,1,0,0,2
"Hamad, el-Amara",3356.0764165593137,46.15531044032965,0,0,0,1,1,2
"Ricardo, Rocha",4295.3919996548075,45.139008085368665,1,0,1,0,1,2
